filepath,annotation
images/test/neutral/im562.png,neutral
images/test/neutral/im782.png,neutral
images/test/neutral/im153.png,neutral
images/test/neutral/im954.png,neutral
images/test/neutral/im486.png,neutral
images/test/neutral/im831.png,neutral
images/test/neutral/im848.png,neutral
images/test/neutral/im696.png,neutral
images/test/neutral/im1227.png,neutral
images/test/neutral/im1125.png,neutral
images/test/neutral/im384.png,neutral
images/test/neutral/im184.png,neutral
images/test/neutral/im495.png,neutral
images/test/neutral/im1223.png,neutral
images/test/neutral/im510.png,neutral
images/test/neutral/im664.png,neutral
images/test/neutral/im209.png,neutral
images/test/neutral/im112.png,neutral
images/test/neutral/im546.png,neutral
images/test/neutral/im1182.png,neutral
images/test/neutral/im537.png,neutral
images/test/neutral/im505.png,neutral
images/test/neutral/im1034.png,neutral
images/test/neutral/im1071.png,neutral
images/test/neutral/im518.png,neutral
images/test/neutral/im752.png,neutral
images/test/neutral/im223.png,neutral
images/test/neutral/im949.png,neutral
images/test/neutral/im950.png,neutral
images/test/neutral/im511.png,neutral
images/test/neutral/im770.png,neutral
images/test/neutral/im781.png,neutral
images/test/neutral/im1130.png,neutral
images/test/neutral/im250.png,neutral
images/test/neutral/im565.png,neutral
images/test/neutral/im370.png,neutral
images/test/neutral/im1199.png,neutral
images/test/neutral/im170.png,neutral
images/test/neutral/im1207.png,neutral
images/test/neutral/im186.png,neutral
images/test/neutral/im61.png,neutral
images/test/neutral/im1166.png,neutral
images/test/neutral/im842.png,neutral
images/test/neutral/im941.png,neutral
images/test/neutral/im128.png,neutral
images/test/neutral/im674.png,neutral
images/test/neutral/im413.png,neutral
images/test/neutral/im1099.png,neutral
images/test/neutral/im559.png,neutral
images/test/neutral/im677.png,neutral
images/test/neutral/im930.png,neutral
images/test/neutral/im243.png,neutral
images/test/neutral/im609.png,neutral
images/test/neutral/im629.png,neutral
images/test/neutral/im276.png,neutral
images/test/neutral/im800.png,neutral
images/test/neutral/im1025.png,neutral
